year,date,stage,home_team,away_team,home_goals,away_goals,winner,match_id,goal_diff,result
1994,1994-06-12,Group Stage,Switzerland,Costa Rica,2,1,Switzerland,328,1,Win
1994,1994-06-12,Group Stage,Poland,Saudi Arabia,0,2,Saudi Arabia,329,-2,Loss
1994,1994-06-12,Group Stage,USA,Brazil,2,0,USA,330,2,Win
1994,1994-06-13,Group Stage,Switzerland,Costa Rica,1,2,Costa Rica,331,-1,Loss
1994,1994-06-13,Group Stage,Iran,Costa Rica,0,2,Costa Rica,332,-2,Loss
1994,1994-06-13,Group Stage,Iran,France,3,2,Iran,333,1,Win
1994,1994-06-13,Group Stage,Netherlands,Senegal,3,0,Netherlands,334,3,Win
1994,1994-06-13,Round of 16,Saudi Arabia,France,1,0,Saudi Arabia,335,1,Win
1994,1994-06-14,Semi-finals,Switzerland,Cameroon,2,1,Switzerland,336,1,Win
1994,1994-06-14,Group Stage,Nigeria,Poland,1,0,Nigeria,337,1,Win
1994,1994-06-14,Round of 16,Cameroon,Iran,1,0,Cameroon,338,1,Win
1994,1994-06-14,Group Stage,Croatia,Portugal,0,1,Portugal,339,-1,Loss
1994,1994-06-15,Group Stage,Denmark,Nigeria,2,0,Denmark,340,2,Win
1994,1994-06-15,Group Stage,Mexico,Spain,0,1,Spain,341,-1,Loss
1994,1994-06-16,Group Stage,Ghana,France,1,0,Ghana,342,1,Win
1994,1994-06-16,Third Place,Iran,Argentina,1,1,Draw,343,0,Draw
1994,1994-06-17,Group Stage,Senegal,England,1,0,Senegal,344,1,Win
1994,1994-06-17,Group Stage,Switzerland,Saudi Arabia,1,1,Draw,345,0,Draw
1994,1994-06-17,Group Stage,Saudi Arabia,Morocco,1,2,Morocco,346,-1,Loss
1994,1994-06-18,Group Stage,Mexico,Brazil,0,2,Brazil,347,-2,Loss
1994,1994-06-18,Round of 16,Algeria,Morocco,1,1,Draw,348,0,Draw
1994,1994-06-18,Group Stage,Japan,Egypt,0,2,Egypt,349,-2,Loss
1994,1994-06-19,Group Stage,Australia,Mexico,2,1,Australia,350,1,Win
1994,1994-06-19,Quarter-finals,France,Poland,0,0,Draw,351,0,Draw
1994,1994-06-19,Round of 16,Portugal,Brazil,1,2,Brazil,352,-1,Loss
1994,1994-06-19,Group Stage,Costa Rica,Croatia,1,0,Costa Rica,353,1,Win
1994,1994-06-19,Round of 16,Saudi Arabia,Tunisia,1,2,Tunisia,354,-1,Loss
1994,1994-06-20,Group Stage,Tunisia,France,1,1,Draw,355,0,Draw
1994,1994-06-20,Group Stage,Germany,Tunisia,1,0,Germany,356,1,Win
1994,1994-06-21,Semi-finals,Belgium,Senegal,0,1,Senegal,357,-1,Loss
1994,1994-06-21,Final,Japan,Sweden,1,0,Japan,358,1,Win
1994,1994-06-21,Group Stage,Spain,Germany,1,1,Draw,359,0,Draw
1994,1994-06-21,Group Stage,Cameroon,Nigeria,3,2,Cameroon,360,1,Win
1994,1994-06-21,Group Stage,Tunisia,Costa Rica,0,1,Costa Rica,361,-1,Loss
1994,1994-06-21,Group Stage,South Korea,Spain,1,1,Draw,362,0,Draw
1994,1994-06-21,Group Stage,Japan,Costa Rica,1,1,Draw,363,0,Draw
1994,1994-06-22,Group Stage,Costa Rica,Switzerland,2,1,Costa Rica,364,1,Win
1994,1994-06-22,Group Stage,Poland,Italy,2,0,Poland,365,2,Win
1994,1994-06-22,Group Stage,Nigeria,France,0,3,France,366,-3,Loss
1994,1994-06-23,Group Stage,Algeria,Japan,3,1,Algeria,367,2,Win
1994,1994-06-23,Group Stage,Sweden,Australia,1,0,Sweden,368,1,Win
1994,1994-06-23,Group Stage,Senegal,Australia,1,1,Draw,369,0,Draw
1994,1994-06-23,Group Stage,Portugal,Costa Rica,1,2,Costa Rica,370,-1,Loss
1994,1994-06-23,Quarter-finals,Germany,Portugal,2,0,Germany,371,2,Win
1994,1994-06-23,Group Stage,Denmark,Poland,1,1,Draw,372,0,Draw
1994,1994-06-23,Group Stage,Saudi Arabia,USA,2,1,Saudi Arabia,373,1,Win
1994,1994-06-24,Group Stage,Netherlands,Mexico,1,0,Netherlands,374,1,Win
1994,1994-06-24,Group Stage,Belgium,Australia,0,2,Australia,375,-2,Loss
1994,1994-06-25,Group Stage,Japan,Switzerland,2,0,Japan,376,2,Win
1994,1994-06-25,Group Stage,Spain,Sweden,1,1,Draw,377,0,Draw
1994,1994-06-25,Group Stage,Spain,Australia,3,1,Spain,378,2,Win
1994,1994-06-25,Group Stage,Saudi Arabia,Morocco,0,0,Draw,379,0,Draw
1994,1994-06-25,Quarter-finals,Portugal,Germany,0,1,Germany,380,-1,Loss
1994,1994-06-26,Round of 16,Italy,Sweden,1,0,Italy,381,1,Win
1994,1994-06-26,Group Stage,Tunisia,Egypt,1,1,Draw,382,0,Draw
1994,1994-06-26,Round of 16,Uruguay,Cameroon,1,2,Cameroon,383,-1,Loss
1994,1994-06-27,Group Stage,England,Ghana,1,0,England,384,1,Win
1998,1998-06-10,Group Stage,Argentina,USA,1,2,USA,385,-1,Loss
1998,1998-06-10,Group Stage,Argentina,Mexico,2,0,Argentina,386,2,Win
1998,1998-06-10,Group Stage,Portugal,Brazil,2,0,Portugal,387,2,Win
1998,1998-06-10,Group Stage,South Korea,Algeria,1,3,Algeria,388,-2,Loss
1998,1998-06-11,Group Stage,Denmark,South Korea,3,1,Denmark,389,2,Win
1998,1998-06-11,Group Stage,Denmark,Japan,0,0,Draw,390,0,Draw
1998,1998-06-11,Round of 16,Uruguay,Switzerland,2,2,Draw,391,0,Draw
1998,1998-06-11,Group Stage,Italy,Ghana,0,2,Ghana,392,-2,Loss
1998,1998-06-11,Round of 16,USA,Saudi Arabia,1,1,Draw,393,0,Draw
1998,1998-06-12,Group Stage,Denmark,England,1,1,Draw,394,0,Draw
1998,1998-06-12,Group Stage,Australia,Sweden,3,1,Australia,395,2,Win
1998,1998-06-12,Group Stage,Germany,Portugal,3,1,Germany,396,2,Win
1998,1998-06-12,Group Stage,France,Costa Rica,0,2,Costa Rica,397,-2,Loss
1998,1998-06-13,Group Stage,Cameroon,Belgium,3,1,Cameroon,398,2,Win
1998,1998-06-13,Group Stage,Italy,Mexico,2,3,Mexico,399,-1,Loss
1998,1998-06-13,Group Stage,Poland,Cameroon,2,1,Poland,400,1,Win
1998,1998-06-13,Group Stage,England,Uruguay,1,1,Draw,401,0,Draw
1998,1998-06-13,Round of 16,Egypt,South Korea,1,1,Draw,402,0,Draw
1998,1998-06-13,Group Stage,Netherlands,Tunisia,0,2,Tunisia,403,-2,Loss
1998,1998-06-14,Group Stage,England,Costa Rica,2,2,Draw,404,0,Draw
1998,1998-06-14,Group Stage,Costa Rica,Iran,0,1,Iran,405,-1,Loss
1998,1998-06-15,Third Place,Brazil,Italy,2,1,Brazil,406,1,Win
1998,1998-06-15,Group Stage,Spain,Croatia,1,1,Draw,407,0,Draw
1998,1998-06-15,Round of 16,USA,Italy,0,0,Draw,408,0,Draw
1998,1998-06-17,Group Stage,Costa Rica,South Korea,2,3,South Korea,409,-1,Loss
1998,1998-06-17,Group Stage,Ghana,Australia,1,0,Ghana,410,1,Win
1998,1998-06-17,Group Stage,Morocco,Sweden,2,2,Draw,411,0,Draw
1998,1998-06-17,Group Stage,Saudi Arabia,USA,2,1,Saudi Arabia,412,1,Win
1998,1998-06-17,Group Stage,Sweden,Argentina,1,0,Sweden,413,1,Win
1998,1998-06-18,Group Stage,Iran,Senegal,0,1,Senegal,414,-1,Loss
1998,1998-06-18,Final,Netherlands,England,1,2,England,415,-1,Loss
1998,1998-06-18,Group Stage,England,Senegal,1,2,Senegal,416,-1,Loss
1998,1998-06-18,Round of 16,Poland,France,1,1,Draw,417,0,Draw
1998,1998-06-18,Round of 16,Algeria,Japan,0,0,Draw,418,0,Draw
1998,1998-06-18,Group Stage,Portugal,Poland,2,3,Poland,419,-1,Loss
1998,1998-06-18,Group Stage,Italy,Japan,0,1,Japan,420,-1,Loss
1998,1998-06-18,Group Stage,Uruguay,Saudi Arabia,1,1,Draw,421,0,Draw
1998,1998-06-18,Group Stage,Croatia,USA,1,2,USA,422,-1,Loss
1998,1998-06-19,Group Stage,Morocco,Nigeria,0,0,Draw,423,0,Draw
1998,1998-06-19,Group Stage,Germany,South Korea,0,1,South Korea,424,-1,Loss
1998,1998-06-19,Group Stage,Ghana,England,2,2,Draw,425,0,Draw
1998,1998-06-19,Quarter-finals,Germany,Iran,0,0,Draw,426,0,Draw
1998,1998-06-19,Quarter-finals,Australia,Denmark,0,0,Draw,427,0,Draw
1998,1998-06-20,Group Stage,Denmark,Cameroon,2,2,Draw,428,0,Draw
1998,1998-06-20,Group Stage,Argentina,Iran,1,0,Argentina,429,1,Win
1998,1998-06-21,Round of 16,Switzerland,Brazil,1,1,Draw,430,0,Draw
1998,1998-06-21,Group Stage,Spain,Iran,1,2,Iran,431,-1,Loss
1998,1998-06-21,Semi-finals,Portugal,USA,2,1,Portugal,432,1,Win
1998,1998-06-21,Group Stage,France,Brazil,0,2,Brazil,433,-2,Loss
1998,1998-06-21,Semi-finals,Switzerland,Spain,1,0,Switzerland,434,1,Win
1998,1998-06-21,Quarter-finals,Croatia,Algeria,1,1,Draw,435,0,Draw
1998,1998-06-21,Group Stage,Cameroon,Costa Rica,0,1,Costa Rica,436,-1,Loss
1998,1998-06-22,Group Stage,France,Saudi Arabia,1,1,Draw,437,0,Draw
1998,1998-06-23,Group Stage,Germany,Nigeria,1,0,Germany,438,1,Win
1998,1998-06-23,Group Stage,South Korea,Belgium,1,1,Draw,439,0,Draw
1998,1998-06-24,Group Stage,Denmark,Spain,1,2,Spain,440,-1,Loss
1998,1998-06-25,Round of 16,Uruguay,Italy,2,1,Uruguay,441,1,Win
1998,1998-06-25,Group Stage,Denmark,Argentina,1,1,Draw,442,0,Draw
1998,1998-06-25,Group Stage,Argentina,USA,1,2,USA,443,-1,Loss
1998,1998-06-25,Group Stage,Senegal,Cameroon,1,1,Draw,444,0,Draw
1998,1998-06-25,Group Stage,Brazil,USA,1,1,Draw,445,0,Draw
1998,1998-06-25,Group Stage,Switzerland,Sweden,1,0,Switzerland,446,1,Win
1998,1998-06-26,Group Stage,Uruguay,Costa Rica,0,3,Costa Rica,447,-3,Loss
1998,1998-06-27,Quarter-finals,Algeria,Argentina,1,0,Algeria,448,1,Win
2002,2002-06-10,Group Stage,Sweden,Portugal,0,1,Portugal,449,-1,Loss
2002,2002-06-10,Round of 16,Saudi Arabia,USA,1,1,Draw,450,0,Draw
2002,2002-06-11,Quarter-finals,USA,Spain,2,2,Draw,451,0,Draw
2002,2002-06-11,Group Stage,USA,Australia,2,1,USA,452,1,Win
2002,2002-06-12,Group Stage,Denmark,Ghana,2,2,Draw,453,0,Draw
2002,2002-06-13,Group Stage,Costa Rica,Denmark,0,1,Denmark,454,-1,Loss
2002,2002-06-13,Group Stage,Morocco,Argentina,1,2,Argentina,455,-1,Loss
2002,2002-06-13,Group Stage,Belgium,Saudi Arabia,1,2,Saudi Arabia,456,-1,Loss
2002,2002-06-13,Round of 16,Italy,Nigeria,0,2,Nigeria,457,-2,Loss
2002,2002-06-13,Group Stage,Senegal,Belgium,0,1,Belgium,458,-1,Loss
2002,2002-06-14,Semi-finals,Japan,Switzerland,1,1,Draw,459,0,Draw
2002,2002-06-14,Semi-finals,Uruguay,Egypt,1,0,Uruguay,460,1,Win
2002,2002-06-15,Group Stage,Japan,Netherlands,1,0,Japan,461,1,Win
2002,2002-06-15,Group Stage,Cameroon,Uruguay,0,1,Uruguay,462,-1,Loss
2002,2002-06-15,Group Stage,Switzerland,Denmark,0,2,Denmark,463,-2,Loss
2002,2002-06-15,Round of 16,Senegal,Australia,1,1,Draw,464,0,Draw
2002,2002-06-16,Group Stage,Germany,England,1,2,England,465,-1,Loss
2002,2002-06-16,Quarter-finals,France,Portugal,2,1,France,466,1,Win
2002,2002-06-16,Round of 16,Denmark,Brazil,0,1,Brazil,467,-1,Loss
2002,2002-06-16,Group Stage,Algeria,Belgium,1,1,Draw,468,0,Draw
2002,2002-06-17,Group Stage,Ghana,Italy,1,1,Draw,469,0,Draw
2002,2002-06-17,Group Stage,Australia,Netherlands,1,1,Draw,470,0,Draw
2002,2002-06-17,Group Stage,Poland,Portugal,0,1,Portugal,471,-1,Loss
2002,2002-06-18,Group Stage,Cameroon,Italy,1,2,Italy,472,-1,Loss
2002,2002-06-18,Group Stage,Costa Rica,Switzerland,2,3,Switzerland,473,-1,Loss
2002,2002-06-18,Group Stage,Mexico,Croatia,1,1,Draw,474,0,Draw
2002,2002-06-18,Quarter-finals,France,Australia,1,1,Draw,475,0,Draw
2002,2002-06-19,Group Stage,Belgium,Japan,0,1,Japan,476,-1,Loss
2002,2002-06-19,Group Stage,France,Saudi Arabia,1,1,Draw,477,0,Draw
2002,2002-06-19,Group Stage,Belgium,Germany,1,3,Germany,478,-2,Loss
2002,2002-06-20,Quarter-finals,Spain,Nigeria,1,1,Draw,479,0,Draw
2002,2002-06-20,Group Stage,USA,Belgium,2,1,USA,480,1,Win
2002,2002-06-20,Group Stage,Ghana,Saudi Arabia,1,2,Saudi Arabia,481,-1,Loss
2002,2002-06-20,Round of 16,Mexico,Argentina,2,0,Mexico,482,2,Win
2002,2002-06-21,Group Stage,Morocco,Mexico,0,0,Draw,483,0,Draw
2002,2002-06-21,Group Stage,Netherlands,Nigeria,1,2,Nigeria,484,-1,Loss
2002,2002-06-21,Group Stage,Mexico,USA,1,0,Mexico,485,1,Win
2002,2002-06-21,Group Stage,Nigeria,USA,2,1,Nigeria,486,1,Win
2002,2002-06-22,Group Stage,Japan,Morocco,3,1,Japan,487,2,Win
2002,2002-06-22,Group Stage,Brazil,Poland,0,0,Draw,488,0,Draw
2002,2002-06-22,Group Stage,Croatia,Costa Rica,2,0,Croatia,489,2,Win
2002,2002-06-23,Group Stage,South Korea,Brazil,0,1,Brazil,490,-1,Loss
2002,2002-06-23,Group Stage,England,Argentina,1,2,Argentina,491,-1,Loss
2002,2002-06-23,Group Stage,Sweden,South Korea,1,1,Draw,492,0,Draw
2002,2002-06-23,Round of 16,Croatia,England,1,1,Draw,493,0,Draw
2002,2002-06-24,Group Stage,Cameroon,France,1,1,Draw,494,0,Draw
2002,2002-06-24,Group Stage,Senegal,Switzerland,0,1,Switzerland,495,-1,Loss
2002,2002-06-24,Group Stage,Nigeria,France,2,0,Nigeria,496,2,Win
2002,2002-06-24,Group Stage,Sweden,Nigeria,2,1,Sweden,497,1,Win
2002,2002-06-24,Group Stage,Senegal,Iran,1,1,Draw,498,0,Draw
2002,2002-06-24,Round of 16,USA,South Korea,1,0,USA,499,1,Win
2002,2002-06-25,Third Place,Tunisia,Iran,1,1,Draw,500,0,Draw
2002,2002-06-25,Final,Cameroon,Sweden,2,2,Draw,501,0,Draw
2002,2002-06-25,Group Stage,South Korea,Cameroon,2,0,South Korea,502,2,Win
2002,2002-06-25,Group Stage,England,Brazil,2,2,Draw,503,0,Draw
2002,2002-06-25,Group Stage,Tunisia,Costa Rica,0,2,Costa Rica,504,-2,Loss
2002,2002-06-25,Group Stage,Costa Rica,Germany,2,2,Draw,505,0,Draw
2002,2002-06-25,Round of 16,Iran,Algeria,0,1,Algeria,506,-1,Loss
2002,2002-06-26,Group Stage,Germany,Morocco,1,1,Draw,507,0,Draw
2002,2002-06-26,Group Stage,Iran,Switzerland,2,2,Draw,508,0,Draw
2002,2002-06-26,Group Stage,Netherlands,Australia,3,2,Netherlands,509,1,Win
2002,2002-06-26,Group Stage,Spain,USA,2,1,Spain,510,1,Win
2002,2002-06-27,Group Stage,Brazil,Japan,1,0,Brazil,511,1,Win
2002,2002-06-27,Group Stage,Tunisia,Australia,0,2,Australia,512,-2,Loss
2006,2006-06-10,Group Stage,Belgium,Mexico,2,1,Belgium,513,1,Win
2006,2006-06-10,Round of 16,Portugal,England,0,1,England,514,-1,Loss
2006,2006-06-10,Group Stage,Switzerland,England,2,1,Switzerland,515,1,Win
2006,2006-06-11,Group Stage,Japan,Argentina,2,2,Draw,516,0,Draw
2006,2006-06-11,Group Stage,Sweden,USA,1,3,USA,517,-2,Loss
2006,2006-06-11,Group Stage,Sweden,Poland,2,0,Sweden,518,2,Win
2006,2006-06-11,Group Stage,Portugal,Ghana,1,3,Ghana,519,-2,Loss
2006,2006-06-11,Group Stage,USA,Algeria,0,0,Draw,520,0,Draw
2006,2006-06-12,Group Stage,Senegal,Costa Rica,0,3,Costa Rica,521,-3,Loss
2006,2006-06-13,Round of 16,Denmark,Iran,1,2,Iran,522,-1,Loss
2006,2006-06-13,Group Stage,Brazil,Japan,2,1,Brazil,523,1,Win
2006,2006-06-13,Round of 16,Egypt,Tunisia,2,0,Egypt,524,2,Win
2006,2006-06-13,Semi-finals,Uruguay,Egypt,1,1,Draw,525,0,Draw
2006,2006-06-13,Group Stage,Algeria,Croatia,1,1,Draw,526,0,Draw
2006,2006-06-14,Group Stage,Croatia,Cameroon,1,1,Draw,527,0,Draw
2006,2006-06-14,Group Stage,Denmark,Belgium,1,1,Draw,528,0,Draw
2006,2006-06-14,Group Stage,Italy,Senegal,2,2,Draw,529,0,Draw
2006,2006-06-14,Round of 16,Italy,Costa Rica,0,1,Costa Rica,530,-1,Loss
2006,2006-06-14,Group Stage,Argentina,Denmark,0,1,Denmark,531,-1,Loss
2006,2006-06-14,Group Stage,Argentina,Australia,2,2,Draw,532,0,Draw
2006,2006-06-15,Group Stage,Germany,Nigeria,1,1,Draw,533,0,Draw
2006,2006-06-15,Round of 16,Egypt,Spain,2,1,Egypt,534,1,Win
2006,2006-06-15,Group Stage,Tunisia,Cameroon,1,1,Draw,535,0,Draw
2006,2006-06-15,Group Stage,Algeria,France,3,1,Algeria,536,2,Win
2006,2006-06-15,Group Stage,Denmark,Australia,1,1,Draw,537,0,Draw
2006,2006-06-16,Group Stage,Mexico,Ghana,1,2,Ghana,538,-1,Loss
2006,2006-06-16,Group Stage,USA,Costa Rica,0,2,Costa Rica,539,-2,Loss
2006,2006-06-17,Group Stage,Switzerland,Netherlands,3,2,Switzerland,540,1,Win
2006,2006-06-17,Group Stage,Uruguay,England,1,3,England,541,-2,Loss
2006,2006-06-17,Group Stage,Iran,Cameroon,1,1,Draw,542,0,Draw
2006,2006-06-18,Group Stage,Japan,Poland,2,3,Poland,543,-1,Loss
2006,2006-06-18,Third Place,Argentina,Portugal,0,2,Portugal,544,-2,Loss
2006,2006-06-18,Quarter-finals,Morocco,Italy,1,0,Morocco,545,1,Win
2006,2006-06-18,Quarter-finals,Ghana,Argentina,2,1,Ghana,546,1,Win
2006,2006-06-19,Group Stage,Costa Rica,Uruguay,1,0,Costa Rica,547,1,Win
2006,2006-06-19,Group Stage,Uruguay,Saudi Arabia,2,2,Draw,548,0,Draw
2006,2006-06-19,Group Stage,Saudi Arabia,Brazil,1,1,Draw,549,0,Draw
2006,2006-06-20,Group Stage,France,Netherlands,2,1,France,550,1,Win
2006,2006-06-20,Group Stage,Japan,Argentina,2,1,Japan,551,1,Win
2006,2006-06-20,Group Stage,Belgium,Tunisia,2,0,Belgium,552,2,Win
2006,2006-06-20,Semi-finals,Iran,Saudi Arabia,0,1,Saudi Arabia,553,-1,Loss
2006,2006-06-21,Group Stage,Ghana,Senegal,1,2,Senegal,554,-1,Loss
2006,2006-06-21,Quarter-finals,Morocco,Poland,1,1,Draw,555,0,Draw
2006,2006-06-21,Group Stage,Sweden,Italy,2,1,Sweden,556,1,Win
2006,2006-06-21,Group Stage,France,Croatia,3,1,France,557,2,Win
2006,2006-06-21,Round of 16,Tunisia,Netherlands,1,1,Draw,558,0,Draw
2006,2006-06-22,Group Stage,USA,Argentina,1,1,Draw,559,0,Draw
2006,2006-06-22,Group Stage,Ghana,Belgium,2,1,Ghana,560,1,Win
2006,2006-06-22,Quarter-finals,South Korea,Saudi Arabia,2,0,South Korea,561,2,Win
2006,2006-06-23,Group Stage,Australia,Costa Rica,1,2,Costa Rica,562,-1,Loss
2006,2006-06-23,Group Stage,Denmark,Netherlands,2,0,Denmark,563,2,Win
2006,2006-06-23,Round of 16,Iran,Senegal,1,0,Iran,564,1,Win
2006,2006-06-24,Group Stage,Egypt,Australia,3,1,Egypt,565,2,Win
2006,2006-06-24,Final,South Korea,Spain,1,0,South Korea,566,1,Win
2006,2006-06-25,Group Stage,Portugal,Nigeria,1,1,Draw,567,0,Draw
2006,2006-06-25,Group Stage,Argentina,Algeria,0,1,Algeria,568,-1,Loss
2006,2006-06-25,Group Stage,Switzerland,Egypt,2,1,Switzerland,569,1,Win
2006,2006-06-25,Round of 16,Saudi Arabia,Senegal,0,0,Draw,570,0,Draw
2006,2006-06-26,Group Stage,Italy,Netherlands,3,1,Italy,571,2,Win
2006,2006-06-26,Group Stage,Spain,Sweden,1,2,Sweden,572,-1,Loss
2006,2006-06-26,Group Stage,Argentina,Belgium,1,2,Belgium,573,-1,Loss
2006,2006-06-27,Group Stage,Japan,Mexico,1,1,Draw,574,0,Draw
2006,2006-06-27,Group Stage,Uruguay,Costa Rica,0,2,Costa Rica,575,-2,Loss
2006,2006-06-27,Group Stage,Tunisia,France,1,2,France,576,-1,Loss
2010,2010-06-10,Group Stage,Cameroon,Portugal,1,0,Cameroon,577,1,Win
2010,2010-06-10,Group Stage,Netherlands,Switzerland,1,0,Netherlands,578,1,Win
2010,2010-06-10,Final,Switzerland,Mexico,2,0,Switzerland,579,2,Win
2010,2010-06-10,Group Stage,Costa Rica,Australia,1,0,Costa Rica,580,1,Win
2010,2010-06-11,Group Stage,USA,Uruguay,2,0,USA,581,2,Win
2010,2010-06-11,Group Stage,Australia,England,0,1,England,582,-1,Loss
2010,2010-06-11,Group Stage,Portugal,Morocco,3,1,Portugal,583,2,Win
2010,2010-06-11,Group Stage,Japan,Iran,1,3,Iran,584,-2,Loss
2010,2010-06-11,Round of 16,Cameroon,Netherlands,0,1,Netherlands,585,-1,Loss
2010,2010-06-11,Group Stage,Sweden,Spain,2,1,Sweden,586,1,Win
2010,2010-06-11,Group Stage,Belgium,Mexico,1,2,Mexico,587,-1,Loss
2010,2010-06-12,Semi-finals,Spain,Netherlands,2,2,Draw,588,0,Draw
2010,2010-06-12,Group Stage,Tunisia,Cameroon,2,2,Draw,589,0,Draw
2010,2010-06-12,Round of 16,Uruguay,Sweden,1,2,Sweden,590,-1,Loss
2010,2010-06-12,Group Stage,Spain,Egypt,0,1,Egypt,591,-1,Loss
2010,2010-06-12,Group Stage,Denmark,Cameroon,2,0,Denmark,592,2,Win
2010,2010-06-13,Group Stage,Nigeria,Iran,3,2,Nigeria,593,1,Win
2010,2010-06-13,Group Stage,Egypt,Saudi Arabia,1,0,Egypt,594,1,Win
2010,2010-06-13,Group Stage,Morocco,Nigeria,1,1,Draw,595,0,Draw
2010,2010-06-13,Group Stage,Australia,Denmark,1,0,Australia,596,1,Win
2010,2010-06-14,Group Stage,Brazil,Costa Rica,2,2,Draw,597,0,Draw
2010,2010-06-14,Group Stage,Ghana,Cameroon,1,3,Cameroon,598,-2,Loss
2010,2010-06-15,Group Stage,Sweden,Costa Rica,2,0,Sweden,599,2,Win
2010,2010-06-15,Group Stage,Switzerland,Germany,0,1,Germany,600,-1,Loss
2010,2010-06-15,Group Stage,Saudi Arabia,Netherlands,1,2,Netherlands,601,-1,Loss
2010,2010-06-15,Group Stage,Germany,Sweden,0,1,Sweden,602,-1,Loss
2010,2010-06-16,Group Stage,Cameroon,Uruguay,3,2,Cameroon,603,1,Win
2010,2010-06-16,Third Place,Australia,USA,1,1,Draw,604,0,Draw
2010,2010-06-16,Round of 16,Croatia,Argentina,0,1,Argentina,605,-1,Loss
2010,2010-06-17,Round of 16,South Korea,Italy,0,2,Italy,606,-2,Loss
2010,2010-06-18,Group Stage,France,Saudi Arabia,0,2,Saudi Arabia,607,-2,Loss
2010,2010-06-18,Group Stage,Nigeria,Sweden,3,1,Nigeria,608,2,Win
2010,2010-06-19,Quarter-finals,Saudi Arabia,Uruguay,0,0,Draw,609,0,Draw
2010,2010-06-19,Quarter-finals,USA,Japan,0,1,Japan,610,-1,Loss
2010,2010-06-20,Group Stage,Switzerland,Australia,3,2,Switzerland,611,1,Win
2010,2010-06-20,Round of 16,Senegal,Croatia,1,0,Senegal,612,1,Win
2010,2010-06-20,Round of 16,Brazil,Croatia,0,1,Croatia,613,-1,Loss
2010,2010-06-20,Group Stage,Australia,Nigeria,1,3,Nigeria,614,-2,Loss
2010,2010-06-20,Group Stage,Iran,Algeria,1,1,Draw,615,0,Draw
2010,2010-06-20,Group Stage,Spain,Ghana,1,2,Ghana,616,-1,Loss
2010,2010-06-21,Group Stage,Cameroon,Senegal,1,1,Draw,617,0,Draw
2010,2010-06-21,Round of 16,Saudi Arabia,Tunisia,2,2,Draw,618,0,Draw
2010,2010-06-22,Group Stage,Saudi Arabia,England,1,1,Draw,619,0,Draw
2010,2010-06-22,Quarter-finals,Denmark,Ghana,0,1,Ghana,620,-1,Loss
2010,2010-06-22,Quarter-finals,Sweden,Belgium,1,0,Sweden,621,1,Win
2010,2010-06-23,Group Stage,Germany,Brazil,1,1,Draw,622,0,Draw
2010,2010-06-23,Group Stage,Ghana,Denmark,3,0,Ghana,623,3,Win
2010,2010-06-23,Group Stage,Iran,Poland,0,2,Poland,624,-2,Loss
2010,2010-06-23,Semi-finals,Senegal,Germany,1,1,Draw,625,0,Draw
2010,2010-06-23,Group Stage,Denmark,France,2,3,France,626,-1,Loss
2010,2010-06-23,Group Stage,Ghana,Belgium,3,1,Ghana,627,2,Win
2010,2010-06-23,Group Stage,Belgium,Senegal,1,0,Belgium,628,1,Win
2010,2010-06-23,Round of 16,Ghana,Costa Rica,0,1,Costa Rica,629,-1,Loss
2010,2010-06-24,Group Stage,Uruguay,Germany,2,2,Draw,630,0,Draw
2010,2010-06-25,Group Stage,Germany,Uruguay,0,1,Uruguay,631,-1,Loss
2010,2010-06-25,Group Stage,Spain,England,1,0,Spain,632,1,Win
2010,2010-06-25,Group Stage,USA,Nigeria,2,0,USA,633,2,Win
2010,2010-06-25,Group Stage,Germany,Portugal,2,3,Portugal,634,-1,Loss
2010,2010-06-25,Group Stage,Egypt,Spain,0,1,Spain,635,-1,Loss
2010,2010-06-26,Group Stage,Saudi Arabia,Switzerland,1,2,Switzerland,636,-1,Loss
2010,2010-06-26,Group Stage,Italy,Spain,2,0,Italy,637,2,Win
2010,2010-06-27,Group Stage,Mexico,Croatia,3,2,Mexico,638,1,Win
2010,2010-06-27,Group Stage,USA,Spain,1,1,Draw,639,0,Draw
2010,2010-06-27,Group Stage,Morocco,Germany,2,3,Germany,640,-1,Loss
2014,2014-06-10,Group Stage,Argentina,Senegal,0,0,Draw,641,0,Draw
2014,2014-06-10,Group Stage,Belgium,Japan,2,2,Draw,642,0,Draw
2014,2014-06-10,Quarter-finals,Croatia,Saudi Arabia,1,0,Croatia,643,1,Win
2014,2014-06-11,Group Stage,England,Mexico,1,1,Draw,644,0,Draw
2014,2014-06-11,Round of 16,Tunisia,Spain,2,0,Tunisia,645,2,Win
2014,2014-06-11,Group Stage,Brazil,Japan,0,3,Japan,646,-3,Loss
2014,2014-06-11,Round of 16,Portugal,Cameroon,1,1,Draw,647,0,Draw
2014,2014-06-12,Quarter-finals,Morocco,Mexico,1,0,Morocco,648,1,Win
2014,2014-06-12,Group Stage,Argentina,Portugal,1,0,Argentina,649,1,Win
2014,2014-06-12,Group Stage,Argentina,Italy,0,1,Italy,650,-1,Loss
2014,2014-06-13,Group Stage,Denmark,Saudi Arabia,0,2,Saudi Arabia,651,-2,Loss
2014,2014-06-13,Group Stage,South Korea,Egypt,0,2,Egypt,652,-2,Loss
2014,2014-06-14,Group Stage,USA,Nigeria,1,1,Draw,653,0,Draw
